Joueur,�ge,Position,Ligue,�quipe,Matchs jou�s,Titularisations,Minutes jou�es,Matches �quivalents 90 minutes,Buts,Passes d�cisives,Buts + Passes d�cisives,Buts hors penalty,Penalty marqu�s,Penalty tent�s,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus hors penalty (npxG) ,Passes d�cisives attendues (xAG),xG + xAG hors penalty,Passes progressives ,Courses progressives ,R�ceptions progressives ,Buts par 90 minutes,Passes d�cisives par 90 minutes,Buts + Passes d�cisives par 90 minutes ,Buts hors penalty par 90 minutes,Buts + Passes d�cisives hors penalty par 90 min,xG par 90 minutes,xAG par 90 minutes,xG + xAG par 90 minutes,npxG par 90 minutes,npxG + xAG par 90 minutes,Matches (�quivalents 90 minutes),Actions menant � un tir,Actions menant � un tir par 90 minutes ,Passes vivantes menant � un tir,Passes arr�t�es menant � un tir,Ballons perdus menant � un tir,Tirs menant � un tir,Fautes subies menant � un tir,Actions d�fensives menant � un tir,Actions menant � un but,Actions menant � un but par 90 minutes,Passes vivantes menant � un but,Passes arr�t�es menant � un but,Ballons perdus menant � un but,Tirs menant � un but,Fautes subies menant � un but ,Actions d�fensives menant � un but,Passes r�ussies totales,Passes tent�es totales,Pourcentage de r�ussite des passes,Distance totale des passes ,Distance progressive des passes,Passes courtes r�ussies,Passes courtes tent�es,Pourcentage de r�ussite des passes courtes,Passes moyennes r�ussies,Passes moyennes tent�es,Pourcentage de r�ussite des passes moyennes,Passes longues r�ussies,Passes longues tent�es,Pourcentage de r�ussite des passes longues,Passes d�cisives,Passes d�cisives attendues (xAG),Passes attendues ,Diff�rence entre passes attendues et xAG,Passes cl�s,Passes vers le dernier tiers,Passes dans la surface adverse,Centres dans la surface adverse,Passes progressives,Deuxi�me carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres,Performance Iterceptions ,Tacles r�ussis,Penalty obtenus,Penalty conc�d�s,Buts contre son camp,Ballons r�cup�r�s,Duels a�riens gagn�s,Duels a�riens perdus,Pourcentage de duels a�riens gagn�s,Buts,Tirs,Tirs cadr�s,Pourcentage de tirs cadr�s,Tirs par 90 minutes,Tirs cadr�s par 90 minutes,Buts par tir,Buts par tir cadr� ,Distance moyenne des tirs,Coups francs,Penalty marqu�s,Penalty tent�s,Buts attendus (xG),Buts attendus hors penalty (npxG),npxG par tir,Diff�rence entre buts r�els et xG ,Diff�rence entre buts r�els hors penalty et npxG,Tacles,Tacles r�ussis,Tacles dans le tiers d�fensif,Tacles dans le tiers m�dian,Tacles dans le tiers offensif,Tacles dans les duels ,Duels tent�s,Pourcentage de tacles r�ussis Tkl%,Duels perdus,Contres,Tirs contr�s ,Passes cntr�es ,Interceptions ,Tacles + Interceptions,D�gagements,Erreurs ayant conduit � un tir adverse,Minutes par match ,Pourcentage de minutes jou�es ,Titularisations,Minutes par titularisation ,Matches compl�t�s,Rempla�ants,Minutes par entr�e,Matches non remplac�,Points par match,Buts marqu�s avec le joueur,Buts encaiss�s avec le joueur,Diff�rence de buts avec le joueur,Diff�rence de buts par 90 minutes,Diff�rence avec/sans le joueur,xG marqu�s avec le joueur ,xG encaiss�s avec le joueur,Diff�rence de xG avec le joueur,Diff�rence de xG par 90 minutes,Diff�rence de xG avec/sans le joueur,Touches,Touches dans la surface d�fensive,Touches dans le tiers d�fensif,Touches dans le tier m�dian,Touches dans le tiers offensif,Touches dans la surface offensive,Ballons en jeu,Dribbles tent�s,Dribbles r�ussis,Pourcentage de dribbles r�ussis,Ballons perdus apr�s dribble,Pourcentage de ballons perdus apr�s dribble,Port�es de balle,Distance totale parcourue avec le ballon,Distance progressive parcourue avec le ballon,Courses progressives,Courses vers le dernier tiers,Courses dans la surface adverse
Sam Curtis,17.0,Defender,Premier League,Sheffield Utd,1.0,0.0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,60.0,98.0,37.0,3.0,4.0,75.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,28.0,0.8,0.0,0.0,0.0,1.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,1.83,0.4,0.4,0.0,-0.03,0.99,14.0,0.0,8.0,4.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Tomáš Čvančara,22.0,Forward,Bundesliga,Gladbach,21.0,7.0,896.0,10.0,4.0,1.0,5.0,3.0,1.0,2.0,4.0,0.0,5.9,4.3,0.7,5.0,12.0,13.0,47.0,0.4,0.1,0.5,0.3,0.4,0.59,0.07,0.66,0.43,0.51,10.0,20.0,2.01,10.0,0.0,2.0,7.0,0.0,1.0,3.0,0.3,1.0,0.0,0.0,2.0,0.0,0.0,137.0,216.0,63.4,1668.0,384.0,91.0,133.0,68.4,36.0,53.0,67.9,3.0,3.0,100.0,1.0,0.7,0.8,0.3,7.0,7.0,4.0,2.0,13.0,0.0,9.0,13.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,16.0,23.0,30.0,43.4,4.0,34.0,11.0,32.4,3.42,1.1,0.09,0.27,14.2,1.0,1.0,2.0,5.9,4.3,0.13,-1.9,-1.3,4.0,3.0,0.0,2.0,2.0,1.0,3.0,33.3,2.0,5.0,1.0,4.0,2.0,6.0,8.0,0.0,43.0,29.3,7.0,75.0,1.0,14.0,27.0,0.0,0.9,19.0,23.0,-4.0,-0.4,-0.11,14.7,20.4,-5.6,-0.57,-0.48,331.0,8.0,26.0,169.0,140.0,45.0,329.0,16.0,5.0,31.3,10.0,62.5,188.0,792.0,314.0,12.0,7.0,7.0
Danilo D'Ambrosio,34.0,Defender,Serie A,Monza,24.0,16.0,1536.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.7,0.7,0.2,0.8,12.0,61.0,25.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,17.1,14.0,0.82,5.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.0,1095.0,89.4,17542.0,5544.0,360.0,376.0,95.7,531.0,566.0,93.8,74.0,124.0,59.7,0.0,0.2,0.4,-0.2,4.0,61.0,4.0,1.0,61.0,1.0,18.0,13.0,1.0,7.0,14.0,34.0,0.0,1.0,0.0,77.0,27.0,20.0,57.4,0.0,14.0,4.0,28.6,0.82,0.23,0.0,0.0,15.0,0.0,0.0,0.0,0.7,0.7,0.05,-0.7,-0.7,57.0,34.0,34.0,20.0,3.0,28.0,41.0,68.3,13.0,22.0,13.0,9.0,14.0,71.0,31.0,0.0,64.0,44.9,16.0,83.0,10.0,8.0,27.0,5.0,1.13,18.0,20.0,-2.0,-0.12,0.36,18.4,24.7,-6.3,-0.37,0.13,1268.0,126.0,564.0,600.0,114.0,23.0,1268.0,13.0,7.0,53.8,5.0,38.5,787.0,3641.0,1763.0,12.0,8.0,1.0
Alberto Dadie,21.0,Midfielder,La Liga,Real Sociedad,1.0,0.0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,3.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,42.9,47.0,33.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,28.0,0.8,0.0,0.0,0.0,1.0,28.0,0.0,0.0,1.0,0.0,1.0,3.21,2.92,0.9,0.1,0.8,2.73,2.65,14.0,0.0,6.0,6.0,2.0,1.0,14.0,1.0,0.0,0.0,1.0,100.0,12.0,28.0,8.0,0.0,0.0,0.0
Trévis Dago,18.0,Forward,Ligue 1,Lille,4.0,0.0,23.0,0.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.5,1.0,0.0,1.0,0.0,3.91,3.91,0.0,3.91,0.16,1.63,1.78,0.16,1.78,0.3,2.0,7.83,1.0,0.0,1.0,0.0,0.0,0.0,2.0,7.83,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,50.0,31.0,19.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.4,0.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,0.0,1.0,0.0,0.0,3.91,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.8,0.0,0.0,0.0,4.0,6.0,4.0,1.75,2.0,0.0,2.0,7.83,7.35,1.5,0.0,1.4,5.66,5.34,9.0,0.0,1.0,4.0,5.0,2.0,9.0,1.0,1.0,100.0,0.0,0.0,6.0,40.0,22.0,1.0,1.0,0.0
Finn Dahmen,25.0,Goalkeeper,Bundesliga,Augsburg,31.0,31.0,2790.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,10.0,0.32,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,1345.0,76.2,27889.0,18248.0,166.0,168.0,98.8,556.0,566.0,98.2,299.0,600.0,49.8,0.0,0.1,0.2,-0.1,1.0,44.0,1.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,64.0,6.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,1.0,17.0,5.0,90.0,91.2,31.0,90.0,31.0,0.0,0.0,0.0,1.26,48.0,52.0,-4.0,-0.13,1.87,41.8,49.1,-7.3,-0.24,1.09,1437.0,903.0,1394.0,44.0,0.0,0.0,1437.0,0.0,0.0,0.0,0.0,0.0,889.0,4866.0,3052.0,0.0,0.0,0.0
Mahmoud Dahoud,27.0,Midfielder,Premier League,Brighton,9.0,6.0,452.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.9,1.1,4.0,11.0,6.0,0.0,0.2,0.2,0.0,0.2,0.04,0.18,0.22,0.04,0.22,5.0,13.0,2.59,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,2.0,0.0,0.0,0.0,0.0,0.0,284.0,328.0,86.6,4011.0,886.0,169.0,176.0,96.0,84.0,99.0,84.8,16.0,25.0,64.0,1.0,0.9,0.4,0.1,10.0,21.0,1.0,1.0,11.0,0.0,6.0,2.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,26.0,0.0,5.0,0.0,0.0,6.0,1.0,16.7,1.19,0.2,0.0,0.0,26.8,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,9.0,4.0,2.0,4.0,3.0,3.0,9.0,33.3,6.0,4.0,1.0,3.0,1.0,10.0,5.0,0.0,50.0,13.2,6.0,68.0,0.0,3.0,16.0,8.0,2.11,10.0,5.0,5.0,1.0,1.36,7.9,4.1,3.8,0.76,0.83,368.0,12.0,86.0,225.0,58.0,4.0,368.0,5.0,2.0,40.0,3.0,60.0,239.0,951.0,406.0,4.0,3.0,1.0
Mahmoud Dahoud,27.0,Midfielder,Bundesliga,Stuttgart,13.0,1.0,227.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.5,1.1,1.0,19.0,5.0,0.4,0.0,0.4,0.4,0.4,0.22,0.21,0.43,0.22,0.43,2.5,11.0,4.36,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,205.0,235.0,87.2,3140.0,829.0,117.0,126.0,92.9,63.0,71.0,88.7,16.0,24.0,66.7,0.0,0.5,0.9,-0.5,7.0,19.0,3.0,1.0,19.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,23.0,2.0,5.0,28.6,1.0,3.0,1.0,33.3,1.19,0.4,0.33,1.0,19.8,0.0,0.0,0.0,0.6,0.6,0.19,0.4,0.4,5.0,1.0,1.0,4.0,0.0,3.0,7.0,42.9,4.0,4.0,0.0,4.0,0.0,5.0,1.0,0.0,17.0,7.4,1.0,66.0,0.0,12.0,13.0,2.0,2.31,6.0,4.0,2.0,0.79,-0.38,7.7,2.5,5.2,2.07,1.2,261.0,5.0,48.0,157.0,57.0,6.0,261.0,2.0,0.0,0.0,2.0,100.0,144.0,548.0,241.0,1.0,5.0,0.0
Ameen Al-Dakhil,21.0,Defender,Premier League,Burnley,13.0,12.0,1056.0,11.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,0.1,1.4,7.0,35.0,9.0,0.09,0.0,0.09,0.09,0.09,0.11,0.01,0.12,0.11,0.12,11.7,8.0,0.68,5.0,0.0,1.0,2.0,0.0,0.0,1.0,0.09,1.0,0.0,0.0,0.0,0.0,0.0,537.0,637.0,84.3,9642.0,2939.0,208.0,220.0,94.5,280.0,321.0,87.2,42.0,77.0,54.5,0.0,0.1,0.6,-0.1,2.0,13.0,2.0,0.0,35.0,0.0,6.0,4.0,0.0,3.0,12.0,5.0,0.0,1.0,1.0,50.0,14.0,23.0,37.8,1.0,8.0,3.0,37.5,0.68,0.26,0.13,0.33,16.0,0.0,0.0,0.0,1.3,1.3,0.16,-0.3,-0.3,12.0,5.0,4.0,7.0,1.0,1.0,10.0,10.0,9.0,13.0,6.0,7.0,12.0,24.0,38.0,2.0,81.0,30.9,12.0,86.0,11.0,1.0,21.0,2.0,0.38,10.0,26.0,-16.0,-1.36,-0.56,10.8,20.3,-9.5,-0.81,-0.04,749.0,83.0,355.0,339.0,58.0,10.0,749.0,5.0,3.0,60.0,2.0,40.0,491.0,2471.0,1351.0,7.0,9.0,0.0
Thijs Dallinga,22.0,Forward,Ligue 1,Toulouse,33.0,28.0,2510.0,27.9,14.0,2.0,16.0,13.0,1.0,3.0,6.0,0.0,14.1,11.8,1.2,13.0,32.0,38.0,164.0,0.5,0.07,0.57,0.47,0.54,0.51,0.04,0.55,0.42,0.47,27.9,49.0,1.76,33.0,0.0,4.0,8.0,2.0,2.0,9.0,0.32,6.0,0.0,0.0,2.0,1.0,0.0,416.0,621.0,67.0,5875.0,1080.0,245.0,343.0,71.4,117.0,174.0,67.2,22.0,38.0,57.9,2.0,1.2,1.8,0.8,17.0,19.0,15.0,2.0,38.0,0.0,37.0,45.0,20.0,14.0,3.0,15.0,1.0,0.0,0.0,68.0,59.0,43.0,57.8,14.0,81.0,32.0,39.5,2.9,1.15,0.16,0.41,13.3,1.0,1.0,3.0,14.1,11.8,0.15,-0.1,1.2,29.0,15.0,6.0,11.0,12.0,9.0,15.0,60.0,6.0,11.0,4.0,7.0,3.0,32.0,35.0,0.0,76.0,82.0,28.0,84.0,16.0,5.0,31.0,0.0,1.3,35.0,37.0,-2.0,-0.07,0.26,34.0,39.6,-5.6,-0.2,0.16,878.0,40.0,81.0,409.0,398.0,124.0,875.0,38.0,20.0,52.6,14.0,36.8,663.0,3515.0,1132.0,32.0,24.0,9.0
Diogo Dalot,24.0,Defender,Premier League,Manchester Utd,36.0,35.0,3174.0,35.3,2.0,3.0,5.0,2.0,0.0,0.0,6.0,1.0,1.7,1.7,2.9,4.6,52.0,124.0,111.0,0.06,0.09,0.14,0.06,0.14,0.05,0.08,0.13,0.05,0.13,35.3,78.0,2.21,67.0,4.0,2.0,3.0,1.0,1.0,7.0,0.2,6.0,0.0,0.0,1.0,0.0,0.0,1486.0,1830.0,81.2,24927.0,8066.0,729.0,817.0,89.2,574.0,701.0,81.9,139.0,213.0,65.3,3.0,2.9,2.4,0.1,37.0,107.0,31.0,16.0,124.0,1.0,45.0,14.0,2.0,80.0,37.0,51.0,0.0,1.0,0.0,195.0,32.0,25.0,56.1,2.0,30.0,7.0,23.3,0.85,0.2,0.07,0.29,21.0,0.0,0.0,0.0,1.7,1.7,0.06,0.3,0.3,81.0,51.0,58.0,12.0,11.0,51.0,74.0,68.9,23.0,44.0,16.0,28.0,37.0,118.0,111.0,0.0,88.0,92.8,35.0,90.0,34.0,1.0,25.0,1.0,1.58,56.0,55.0,1.0,0.03,0.76,51.5,64.3,-12.8,-0.36,-0.47,2196.0,185.0,752.0,873.0,587.0,48.0,2196.0,52.0,31.0,59.6,18.0,34.6,1149.0,5413.0,2901.0,52.0,43.0,10.0
Mikkel Damsgaard,23.0,Midfielder,Premier League,Brentford,23.0,7.0,842.0,9.4,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,1.4,2.4,16.0,61.0,32.0,0.0,0.21,0.21,0.0,0.21,0.1,0.16,0.25,0.1,0.25,9.4,26.0,2.78,18.0,3.0,0.0,3.0,1.0,1.0,5.0,0.54,3.0,0.0,0.0,1.0,1.0,0.0,300.0,432.0,69.4,4940.0,1897.0,151.0,194.0,77.8,116.0,151.0,76.8,26.0,55.0,47.3,2.0,1.4,0.9,0.6,10.0,50.0,11.0,1.0,61.0,0.0,14.0,8.0,3.0,29.0,11.0,17.0,0.0,0.0,0.0,57.0,12.0,11.0,52.2,0.0,9.0,4.0,44.4,0.96,0.43,0.0,0.0,18.0,1.0,0.0,0.0,0.9,0.9,0.1,-0.9,-0.9,29.0,17.0,13.0,9.0,7.0,14.0,40.0,35.0,26.0,23.0,1.0,22.0,11.0,40.0,10.0,1.0,37.0,24.6,7.0,75.0,0.0,16.0,20.0,3.0,0.87,17.0,9.0,8.0,0.86,1.45,14.3,10.5,3.8,0.41,0.47,555.0,15.0,108.0,260.0,195.0,20.0,555.0,20.0,9.0,45.0,11.0,55.0,316.0,1578.0,846.0,16.0,11.0,3.0
Flavius Daniliuc,22.0,Defender,Serie A,Salernitana,14.0,8.0,744.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.2,0.5,8.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,8.3,10.0,1.21,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,411.0,85.2,5932.0,2368.0,157.0,180.0,87.2,157.0,170.0,92.4,27.0,39.0,69.2,0.0,0.2,0.1,-0.2,5.0,31.0,2.0,0.0,37.0,0.0,14.0,4.0,0.0,1.0,8.0,11.0,0.0,0.0,0.0,52.0,20.0,15.0,57.1,0.0,2.0,0.0,0.0,0.24,0.0,0.0,0.0,15.4,0.0,0.0,0.0,0.2,0.2,0.12,-0.2,-0.2,19.0,11.0,12.0,5.0,2.0,9.0,19.0,47.4,10.0,13.0,4.0,9.0,8.0,27.0,15.0,0.0,53.0,21.8,8.0,76.0,4.0,6.0,22.0,3.0,0.36,7.0,19.0,-12.0,-1.45,-0.21,7.9,17.1,-9.2,-1.11,0.07,486.0,44.0,208.0,218.0,63.0,7.0,486.0,5.0,1.0,20.0,4.0,80.0,235.0,1145.0,561.0,8.0,7.0,0.0
Danilo,22.0,Midfielder,Premier League,Nott'ham Forest,29.0,20.0,1792.0,19.9,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,1.8,1.8,1.5,3.4,22.0,83.0,28.0,0.1,0.1,0.2,0.1,0.2,0.09,0.08,0.17,0.09,0.17,19.9,48.0,2.41,34.0,5.0,4.0,4.0,1.0,0.0,4.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,589.0,758.0,77.7,10498.0,3239.0,255.0,297.0,85.9,247.0,286.0,86.4,70.0,123.0,56.9,2.0,1.5,0.7,0.5,20.0,74.0,14.0,0.0,83.0,0.0,13.0,9.0,2.0,26.0,35.0,18.0,0.0,1.0,0.0,118.0,14.0,10.0,58.3,2.0,23.0,7.0,30.4,1.16,0.35,0.09,0.29,21.0,0.0,0.0,0.0,1.8,1.8,0.08,0.2,0.2,36.0,18.0,22.0,12.0,2.0,21.0,46.0,45.7,25.0,33.0,8.0,25.0,35.0,71.0,42.0,0.0,62.0,52.4,20.0,80.0,7.0,9.0,20.0,2.0,1.03,31.0,42.0,-11.0,-0.55,-0.17,30.4,28.1,2.3,0.11,0.42,977.0,79.0,281.0,521.0,191.0,16.0,977.0,26.0,17.0,65.4,9.0,34.6,515.0,2547.0,1178.0,22.0,20.0,3.0
Danilo,32.0,Defender,Serie A,Juventus,29.0,27.0,2452.0,27.2,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.3,1.3,0.9,2.2,18.0,161.0,21.0,0.04,0.04,0.07,0.04,0.07,0.05,0.03,0.08,0.05,0.08,27.2,48.0,1.76,41.0,1.0,1.0,2.0,0.0,3.0,3.0,0.11,1.0,0.0,0.0,1.0,0.0,1.0,1591.0,1849.0,86.0,31356.0,11027.0,541.0,580.0,93.3,839.0,916.0,91.6,195.0,303.0,64.4,1.0,0.9,1.0,0.1,21.0,148.0,14.0,4.0,161.0,0.0,26.0,14.0,1.0,18.0,37.0,36.0,0.0,0.0,0.0,142.0,37.0,27.0,57.8,1.0,17.0,2.0,11.8,0.62,0.07,0.06,0.5,19.1,0.0,0.0,0.0,1.3,1.3,0.08,-0.3,-0.3,60.0,36.0,38.0,18.0,4.0,32.0,48.0,66.7,16.0,34.0,15.0,19.0,37.0,97.0,94.0,0.0,85.0,71.7,27.0,90.0,27.0,2.0,11.0,1.0,1.83,41.0,22.0,19.0,0.7,0.33,36.5,22.2,14.3,0.53,-0.43,2118.0,255.0,815.0,1113.0,200.0,20.0,2118.0,12.0,8.0,66.7,1.0,8.3,1060.0,4741.0,2503.0,18.0,14.0,2.0
Arnaut Danjuma,26.0,Midfielder,Premier League,Everton,14.0,5.0,595.0,6.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.6,2.6,1.1,3.7,24.0,9.0,44.0,0.15,0.0,0.15,0.15,0.15,0.4,0.17,0.57,0.4,0.57,6.6,18.0,2.72,9.0,0.0,1.0,5.0,2.0,1.0,1.0,0.15,0.0,0.0,0.0,1.0,0.0,0.0,102.0,152.0,67.1,1420.0,357.0,57.0,69.0,82.6,37.0,54.0,68.5,2.0,7.0,28.6,0.0,1.1,0.4,-1.1,6.0,6.0,2.0,0.0,9.0,0.0,7.0,5.0,3.0,10.0,3.0,4.0,0.0,0.0,0.0,25.0,3.0,5.0,37.5,1.0,25.0,9.0,36.0,3.78,1.36,0.04,0.11,16.0,1.0,0.0,0.0,2.6,2.6,0.1,-1.6,-1.6,6.0,4.0,2.0,3.0,1.0,1.0,4.0,25.0,3.0,4.0,0.0,4.0,3.0,9.0,0.0,0.0,43.0,17.4,5.0,84.0,2.0,9.0,19.0,14.0,0.43,3.0,10.0,-7.0,-1.06,-0.93,8.6,9.8,-1.2,-0.18,-0.18,223.0,4.0,23.0,77.0,127.0,32.0,223.0,21.0,8.0,38.1,11.0,52.4,147.0,1182.0,599.0,24.0,15.0,11.0
Jayden Danns,17.0,Forward,Premier League,Liverpool,2.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,73.0,16.0,3.0,4.0,75.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3,0.0,0.0,0.0,2.0,5.0,4.0,3.0,2.0,0.0,2.0,20.0,18.87,0.6,0.1,0.5,4.56,3.47,7.0,0.0,0.0,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,5.0,0.0,1.0,0.0
Kevin Danso,24.0,Defender,Ligue 1,Lens,30.0,30.0,2655.0,29.5,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.8,1.8,0.4,2.2,27.0,133.0,3.0,0.03,0.0,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07,29.5,32.0,1.08,27.0,0.0,0.0,3.0,1.0,1.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,1508.0,1719.0,87.7,27659.0,10926.0,573.0,622.0,92.1,779.0,856.0,91.0,128.0,196.0,65.3,0.0,0.4,0.7,-0.4,8.0,122.0,6.0,0.0,133.0,0.0,23.0,48.0,2.0,3.0,23.0,14.0,0.0,0.0,0.0,216.0,55.0,27.0,67.1,1.0,21.0,5.0,23.8,0.71,0.17,0.05,0.2,14.2,0.0,0.0,0.0,1.8,1.8,0.09,-0.8,-0.8,24.0,14.0,12.0,11.0,1.0,15.0,30.0,50.0,15.0,43.0,30.0,13.0,23.0,47.0,115.0,1.0,89.0,86.8,30.0,89.0,29.0,0.0,0.0,0.0,1.53,37.0,32.0,5.0,0.17,-0.5,44.2,39.2,5.0,0.17,-0.36,2010.0,248.0,836.0,1093.0,98.0,22.0,2010.0,16.0,11.0,68.8,2.0,12.5,1411.0,8880.0,5038.0,27.0,29.0,0.0
