Joueur,Age,Position,Ligue,equipe,Matchs joues,Titularisations,Minutes jouees,Matches equivalents 90 minutes,Buts,Passes decisives,Buts + Passes décisives,Buts hors penalty,Penalty marques,Penalty tentes,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus hors penalty (npxG) ,Passes decisives attendues (xAG),xG + xAG hors penalty,Passes progressives ,Courses progressives ,Receptions progressives ,Buts par 90 minutes,Passes decisives par 90 minutes,Buts + Passes decisives par 90 minutes ,Buts hors penalty par 90 minutes,Buts + Passes decisives hors penalty par 90 min,xG par 90 minutes,xAG par 90 minutes,xG + xAG par 90 minutes,npxG par 90 minutes,npxG + xAG par 90 minutes,Matches (equivalents 90 minutes),Actions menant a un tir,Actions menant a un tir par 90 minutes ,Passes vivantes menant a un tir,Passes arretees menant a un tir,Ballons perdus menant a un tir,Tirs menant a un tir,Fautes subies menant a un tir,Actions defensives menant a un tir,Actions menant a un but,Actions menant a un but par 90 minutes,Passes vivantes menant a un but,Passes arretees menant a un but,Ballons perdus menant a un but,Tirs menant a un but,Fautes subies menant a un but ,Actions defensives menant a un but,Passes reussies totales,Passes tentees totales,Pourcentage de reussite des passes,Distance totale des passes ,Distance progressive des passes,Passes courtes reussies,Passes courtes tentees,Pourcentage de reussite des passes courtes,Passes moyennes reussies,Passes moyennes tentees,Pourcentage de reussite des passes moyennes,Passes longues reussies,Passes longues tentees,Pourcentage de reussite des passes longues,Passes decisives,Passes decisives attendues (xAG),Passes attendues ,Difference entre passes attendues et xAG,Passes cles,Passes vers le dernier tiers,Passes dans la surface adverse,Centres dans la surface adverse,Passes progressives,Deuxieme carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres,Performance Iterceptions ,Tacles reussis,Penalty obtenus,Penalty concedes,Buts contre son camp,Ballons recuperes,Duels aeriens gagnes,Duels aeriens perdus,Pourcentage de duels aeriens gagnes,Buts,Tirs,Tirs cadres,Pourcentage de tirs cadres,Tirs par 90 minutes,Tirs cadres par 90 minutes,Buts par tir,Buts par tir cadre,Distance moyenne des tirs,Coups francs,Penalty marques,Penalty tentes,Buts attendus (xG),Buts attendus hors penalty (npxG),npxG par tir,Difference entre buts reels et xG ,Difference entre buts reels hors penalty et npxG,Tacles,Tacles reussis,Tacles dans le tiers defensif,Tacles dans le tiers median,Tacles dans le tiers offensif,Tacles dans les duels ,Duels tentes,Pourcentage de tacles reussis Tkl%,Duels perdus,Contres,Tirs contres ,Passes contrees ,Interceptions ,Tacles + Interceptions,Degagements,Erreurs ayant conduit a un tir adverse,Minutes par match ,Pourcentage de minutes jouees ,Titularisations,Minutes par titularisation ,Matches completes,Remplacants,Minutes par entree,Matches non remplace,Points par match,Buts marques avec le joueur,Buts encaisses avec le joueur,Difference de buts avec le joueur,Difference de buts par 90 minutes,Difference avec/sans le joueur,xG marques avec le joueur ,xG encaisses avec le joueur,Difference de xG avec le joueur,Difference de xG par 90 minutes,Difference de xG avec/sans le joueur,Touches,Touches dans la surface defensive,Touches dans le tiers defensif,Touches dans le tier median,Touches dans le tiers offensif,Touches dans la surface offensive,Ballons en jeu,Dribbles tentes,Dribbles reussis,Pourcentage de dribbles reussis,Ballons perdus apres dribble,Pourcentage de ballons perdus apres dribble,Portees de balle,Distance totale parcourue avec le ballon,Distance progressive parcourue avec le ballon,Courses progressives,Courses vers le dernier tiers,Courses dans la surface adverse
Simone Bastoni,26.0,Midfielder,Serie A,Empoli,16.0,9.0,745.0,8.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,0.5,0.9,12.0,31.0,26.0,0.12,0.0,0.12,0.12,0.12,0.05,0.06,0.11,0.05,0.11,8.3,22.0,2.66,14.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,360.0,68.3,4104.0,1653.0,116.0,141.0,82.3,93.0,121.0,76.9,28.0,69.0,40.6,0.0,0.5,1.0,-0.5,12.0,25.0,6.0,2.0,31.0,0.0,17.0,13.0,0.0,36.0,11.0,13.0,0.0,0.0,0.0,37.0,8.0,11.0,42.1,1.0,7.0,1.0,14.3,0.85,0.12,0.14,1.0,21.9,2.0,0.0,0.0,0.4,0.4,0.06,0.6,0.6,22.0,13.0,12.0,7.0,3.0,11.0,22.0,50.0,11.0,8.0,0.0,8.0,11.0,33.0,18.0,0.0,47.0,21.8,9.0,70.0,2.0,7.0,17.0,15.0,1.13,4.0,14.0,-10.0,-1.21,-0.7,7.0,12.9,-5.9,-0.71,-0.35,464.0,29.0,123.0,216.0,132.0,12.0,464.0,9.0,4.0,44.4,5.0,55.6,206.0,995.0,465.0,12.0,11.0,0.0
Christoph Baumgartner,23.0,Midfielder,Bundesliga,RB Leipzig,32.0,11.0,1158.0,12.9,5.0,1.0,6.0,5.0,0.0,0.0,3.0,0.0,3.7,3.7,1.6,5.2,36.0,47.0,86.0,0.39,0.08,0.47,0.39,0.47,0.28,0.12,0.41,0.28,0.41,12.9,45.0,3.5,31.0,0.0,3.0,5.0,5.0,1.0,5.0,0.39,3.0,0.0,0.0,1.0,1.0,0.0,340.0,456.0,74.6,4651.0,1244.0,189.0,236.0,80.1,112.0,137.0,81.8,14.0,26.0,53.8,1.0,1.6,1.6,-0.6,16.0,31.0,12.0,1.0,47.0,0.0,27.0,27.0,1.0,8.0,5.0,13.0,1.0,0.0,0.0,40.0,20.0,29.0,40.8,5.0,31.0,11.0,35.5,2.41,0.85,0.16,0.45,14.7,0.0,0.0,0.0,3.7,3.7,0.12,1.3,1.3,26.0,13.0,10.0,12.0,4.0,14.0,38.0,36.8,24.0,20.0,1.0,19.0,5.0,31.0,14.0,0.0,36.0,37.8,11.0,69.0,0.0,21.0,19.0,2.0,1.94,23.0,16.0,7.0,0.54,-0.92,29.3,12.4,16.9,1.32,0.91,662.0,17.0,94.0,305.0,275.0,67.0,662.0,37.0,18.0,48.6,15.0,40.5,390.0,2146.0,1252.0,36.0,31.0,13.0
Bebé,33.0,Midfielder,La Liga,Rayo Vallecano,19.0,0.0,212.0,2.4,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.4,0.7,0.2,0.9,17.0,6.0,24.0,0.85,0.0,0.85,0.42,0.42,0.61,0.09,0.7,0.28,0.37,2.4,8.0,3.4,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,104.0,60.6,1125.0,323.0,32.0,43.0,74.4,21.0,30.0,70.0,9.0,27.0,33.3,0.0,0.2,0.5,-0.2,3.0,5.0,4.0,3.0,6.0,0.0,0.0,2.0,3.0,28.0,0.0,2.0,0.0,0.0,0.0,12.0,1.0,4.0,20.0,2.0,15.0,4.0,26.7,6.37,1.7,0.07,0.25,30.2,3.0,1.0,1.0,1.4,0.7,0.04,0.6,0.3,2.0,2.0,1.0,1.0,0.0,1.0,5.0,20.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,11.0,6.2,0.0,0.0,0.0,19.0,11.0,15.0,1.16,4.0,2.0,2.0,0.85,1.44,5.5,3.6,1.9,0.79,0.91,145.0,2.0,8.0,55.0,88.0,7.0,144.0,22.0,12.0,54.5,9.0,40.9,85.0,848.0,390.0,17.0,10.0,5.0
Adrian Beck,26.0,Midfielder,Bundesliga,Heidenheim,23.0,11.0,974.0,10.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,0.8,2.5,17.0,29.0,43.0,0.09,0.09,0.18,0.09,0.18,0.16,0.07,0.23,0.16,0.23,10.8,29.0,2.68,22.0,0.0,3.0,3.0,0.0,1.0,4.0,0.37,3.0,0.0,0.0,1.0,0.0,0.0,311.0,431.0,72.2,5102.0,1027.0,157.0,203.0,77.3,122.0,149.0,81.9,23.0,36.0,63.9,1.0,0.8,0.6,0.2,11.0,25.0,5.0,0.0,29.0,0.0,14.0,10.0,2.0,6.0,4.0,13.0,0.0,0.0,0.0,76.0,18.0,26.0,40.9,1.0,12.0,3.0,25.0,1.11,0.28,0.08,0.33,13.5,0.0,0.0,0.0,1.7,1.7,0.15,-0.7,-0.7,22.0,13.0,8.0,12.0,2.0,9.0,24.0,37.5,15.0,17.0,0.0,17.0,4.0,26.0,15.0,0.0,42.0,31.8,11.0,61.0,1.0,12.0,26.0,5.0,1.13,16.0,20.0,-4.0,-0.37,-0.33,11.4,20.3,-9.0,-0.83,-0.24,560.0,12.0,96.0,304.0,169.0,31.0,560.0,34.0,21.0,61.8,13.0,38.2,314.0,1759.0,702.0,17.0,12.0,0.0
Donny van de Beek,26.0,Midfielder,Bundesliga,Eint Frankfurt,8.0,4.0,357.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,2.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.12,0.02,0.12,4.0,7.0,1.76,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,139.0,78.4,1428.0,365.0,67.0,75.0,89.3,30.0,38.0,78.9,3.0,6.0,50.0,0.0,0.4,0.6,-0.4,3.0,8.0,2.0,0.0,10.0,0.0,7.0,1.0,5.0,7.0,3.0,3.0,0.0,0.0,0.0,15.0,4.0,5.0,44.4,0.0,1.0,0.0,0.0,0.25,0.0,0.0,0.0,11.3,0.0,0.0,0.0,0.1,0.1,0.09,-0.1,-0.1,8.0,3.0,3.0,3.0,2.0,3.0,7.0,42.9,4.0,5.0,1.0,4.0,3.0,11.0,1.0,0.0,45.0,11.7,4.0,59.0,0.0,4.0,30.0,7.0,1.5,4.0,3.0,1.0,0.25,0.25,4.8,5.3,-0.4,-0.11,0.07,173.0,2.0,30.0,94.0,50.0,12.0,173.0,6.0,3.0,50.0,3.0,50.0,95.0,445.0,112.0,2.0,2.0,0.0
Jérémie Bela,30.0,Midfielder,Ligue 1,Clermont Foot,12.0,1.0,203.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,14.0,10.0,33.0,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.15,0.1,0.15,2.3,7.0,3.07,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,100.0,70.0,1031.0,311.0,37.0,46.0,80.4,26.0,38.0,68.4,4.0,8.0,50.0,0.0,0.1,0.2,-0.1,3.0,7.0,3.0,1.0,10.0,0.0,0.0,4.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,3.0,25.0,0.0,6.0,2.0,33.3,2.66,0.89,0.0,0.0,22.6,1.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,1.0,1.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,17.0,6.6,1.0,61.0,0.0,11.0,13.0,9.0,0.25,1.0,8.0,-7.0,-3.1,-2.25,3.8,7.3,-3.4,-1.51,-0.75,121.0,3.0,7.0,59.0,58.0,3.0,121.0,7.0,4.0,57.1,3.0,42.9,94.0,664.0,340.0,14.0,9.0,0.0
Reda Belahyane,19.0,Midfielder,Serie A,Hellas Verona,2.0,1.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,92.0,298.0,88.0,14.0,14.0,100.0,6.0,6.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,26.6,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,45.0,2.6,1.0,73.0,0.0,1.0,17.0,14.0,1.0,2.0,2.0,0.0,0.0,0.35,1.6,1.8,-0.2,-0.21,0.07,35.0,2.0,10.0,20.0,6.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,20.0,92.0,27.0,1.0,1.0,0.0
Reda Belahyane,19.0,Midfielder,Ligue 1,Nice,1.0,0.0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0,6.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0,86.7,183.0,17.0,9.0,10.0,90.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.9,0.0,0.0,0.0,1.0,27.0,8.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.5,0.2,0.3,1.06,0.64,18.0,1.0,1.0,12.0,5.0,0.0,18.0,1.0,1.0,100.0,0.0,0.0,13.0,87.0,63.0,1.0,0.0,0.0
Jean-Ricner Bellegarde,25.0,Midfielder,Premier League,Wolves,22.0,10.0,958.0,10.6,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.6,1.6,1.0,2.5,30.0,39.0,49.0,0.19,0.09,0.28,0.19,0.28,0.15,0.09,0.24,0.15,0.24,10.6,30.0,2.81,20.0,2.0,6.0,1.0,1.0,0.0,2.0,0.19,1.0,0.0,1.0,0.0,0.0,0.0,241.0,314.0,76.8,3452.0,786.0,144.0,161.0,89.4,76.0,98.0,77.6,14.0,29.0,48.3,1.0,1.0,0.8,0.0,12.0,17.0,7.0,0.0,39.0,0.0,10.0,24.0,2.0,30.0,8.0,10.0,0.0,0.0,0.0,41.0,8.0,26.0,23.5,2.0,15.0,5.0,33.3,1.41,0.47,0.13,0.4,16.5,0.0,0.0,0.0,1.6,1.6,0.1,0.4,0.4,17.0,10.0,9.0,6.0,2.0,7.0,15.0,46.7,8.0,18.0,2.0,16.0,8.0,25.0,14.0,0.0,44.0,28.0,10.0,61.0,1.0,12.0,29.0,0.0,1.23,7.0,23.0,-16.0,-1.5,-1.54,9.9,23.2,-13.2,-1.24,-0.96,478.0,25.0,86.0,201.0,199.0,30.0,478.0,39.0,17.0,43.6,17.0,43.6,268.0,1850.0,880.0,30.0,28.0,5.0
Jean-Ricner Bellegarde,25.0,Midfielder,Ligue 1,Strasbourg,3.0,3.0,269.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,0.6,0.6,1.5,2.1,9.0,11.0,10.0,0.67,0.67,1.34,0.67,1.34,0.19,0.51,0.69,0.19,0.69,3.0,6.0,2.01,4.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,67.0,96.0,69.8,1138.0,298.0,30.0,38.0,78.9,32.0,43.0,74.4,5.0,10.0,50.0,2.0,1.5,1.1,0.5,3.0,10.0,1.0,0.0,11.0,0.0,3.0,8.0,0.0,8.0,4.0,3.0,0.0,0.0,0.0,19.0,0.0,5.0,0.0,2.0,5.0,3.0,60.0,1.67,1.0,0.4,0.67,22.5,2.0,0.0,0.0,0.6,0.6,0.11,1.4,1.4,5.0,3.0,3.0,2.0,0.0,3.0,6.0,50.0,3.0,4.0,0.0,4.0,4.0,9.0,0.0,0.0,90.0,8.8,3.0,90.0,2.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.39,5.2,2.6,2.5,0.85,1.05,135.0,2.0,27.0,68.0,44.0,5.0,135.0,15.0,8.0,53.3,5.0,33.3,102.0,751.0,275.0,9.0,7.0,1.0
Jude Bellingham,20.0,Midfielder,La Liga,Real Madrid,28.0,27.0,2315.0,25.7,19.0,6.0,25.0,18.0,1.0,1.0,5.0,1.0,11.1,10.3,5.3,15.6,85.0,196.0,177.0,0.74,0.23,0.97,0.7,0.93,0.43,0.21,0.64,0.4,0.61,25.7,99.0,3.85,82.0,0.0,8.0,4.0,5.0,0.0,13.0,0.51,10.0,0.0,1.0,2.0,0.0,0.0,1363.0,1543.0,88.3,19609.0,4025.0,856.0,930.0,92.0,387.0,428.0,90.4,76.0,90.0,84.4,6.0,5.3,4.3,0.7,48.0,137.0,45.0,3.0,196.0,0.0,32.0,72.0,4.0,21.0,21.0,34.0,0.0,0.0,0.0,118.0,24.0,25.0,49.0,19.0,62.0,34.0,54.8,2.41,1.32,0.29,0.53,14.8,0.0,1.0,1.0,11.1,10.3,0.17,7.9,7.7,42.0,34.0,14.0,18.0,10.0,12.0,36.0,33.3,24.0,55.0,5.0,50.0,21.0,63.0,17.0,0.0,83.0,67.7,27.0,85.0,17.0,1.0,25.0,4.0,2.46,57.0,16.0,41.0,1.59,-0.04,46.7,23.4,23.3,0.91,0.09,1897.0,21.0,202.0,978.0,746.0,135.0,1896.0,97.0,50.0,51.5,35.0,36.1,1235.0,6812.0,3434.0,85.0,73.0,26.0
Fran Beltrán,24.0,Midfielder,La Liga,Celta Vigo,33.0,28.0,2428.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,1.1,1.8,28.0,134.0,30.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,27.0,49.0,1.82,41.0,3.0,1.0,2.0,2.0,0.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,1180.0,1364.0,86.5,18451.0,5360.0,602.0,662.0,90.9,473.0,525.0,90.1,64.0,104.0,61.5,0.0,1.1,1.7,-1.1,18.0,120.0,15.0,2.0,134.0,0.0,28.0,16.0,2.0,19.0,18.0,32.0,0.0,2.0,0.0,160.0,13.0,33.0,28.3,0.0,21.0,3.0,14.3,0.78,0.11,0.0,0.0,25.8,0.0,0.0,0.0,0.7,0.7,0.03,-0.7,-0.7,56.0,32.0,22.0,23.0,11.0,24.0,63.0,38.1,39.0,28.0,2.0,26.0,18.0,74.0,34.0,0.0,74.0,71.0,28.0,83.0,17.0,5.0,19.0,5.0,1.18,38.0,41.0,-3.0,-0.11,0.61,37.0,38.6,-1.7,-0.06,0.14,1593.0,50.0,326.0,985.0,297.0,12.0,1593.0,24.0,12.0,50.0,12.0,50.0,937.0,4446.0,2041.0,28.0,33.0,2.0
Eliesse Ben Seghir,18.0,Midfielder,Ligue 1,Monaco,13.0,4.0,428.0,4.8,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.8,0.8,0.5,1.3,26.0,21.0,56.0,0.42,0.21,0.63,0.42,0.63,0.17,0.1,0.27,0.17,0.27,4.8,20.0,4.21,12.0,0.0,2.0,1.0,5.0,0.0,5.0,1.05,2.0,0.0,1.0,0.0,2.0,0.0,174.0,215.0,80.9,2671.0,572.0,90.0,104.0,86.5,63.0,75.0,84.0,9.0,18.0,50.0,1.0,0.5,0.6,0.5,5.0,14.0,6.0,1.0,21.0,0.0,6.0,19.0,1.0,13.0,2.0,6.0,1.0,0.0,0.0,19.0,5.0,8.0,38.5,2.0,14.0,4.0,28.6,2.94,0.84,0.14,0.5,19.8,1.0,0.0,0.0,0.8,0.8,0.06,1.2,1.2,9.0,6.0,2.0,5.0,2.0,3.0,7.0,42.9,4.0,6.0,0.0,6.0,2.0,11.0,2.0,0.0,33.0,14.0,4.0,67.0,0.0,9.0,18.0,3.0,1.92,11.0,2.0,9.0,1.89,1.31,6.9,4.9,2.0,0.43,0.1,291.0,3.0,25.0,128.0,144.0,24.0,291.0,26.0,6.0,23.1,17.0,65.4,241.0,1567.0,682.0,26.0,19.0,6.0
Anis Ben Slimane,22.0,Midfielder,Premier League,Sheffield Utd,15.0,4.0,419.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.3,1.1,3.0,12.0,21.0,0.0,0.0,0.0,0.0,0.0,0.17,0.06,0.23,0.17,0.23,4.7,12.0,2.58,8.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,139.0,66.2,1322.0,373.0,47.0,70.0,67.1,35.0,43.0,81.4,4.0,5.0,80.0,0.0,0.3,0.1,-0.3,3.0,6.0,2.0,0.0,12.0,0.0,7.0,6.0,2.0,0.0,5.0,6.0,0.0,0.0,1.0,35.0,7.0,18.0,28.0,0.0,8.0,3.0,37.5,1.72,0.64,0.0,0.0,18.2,0.0,0.0,0.0,0.8,0.8,0.1,-0.8,-0.8,11.0,6.0,5.0,2.0,4.0,4.0,10.0,40.0,6.0,7.0,1.0,6.0,5.0,16.0,7.0,0.0,28.0,12.3,4.0,61.0,0.0,11.0,16.0,13.0,0.33,2.0,14.0,-12.0,-2.58,-0.87,2.4,9.8,-7.4,-1.59,-0.66,216.0,15.0,46.0,108.0,65.0,12.0,216.0,17.0,2.0,11.8,13.0,76.5,109.0,452.0,168.0,3.0,8.0,3.0
Carlos Benavídez,25.0,Midfielder,La Liga,Alavés,29.0,10.0,1136.0,12.6,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,0.5,1.5,9.0,60.0,5.0,0.24,0.08,0.32,0.24,0.32,0.08,0.04,0.12,0.08,0.12,12.6,22.0,1.74,15.0,0.0,0.0,2.0,2.0,3.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,321.0,459.0,69.9,5838.0,1863.0,147.0,179.0,82.1,130.0,178.0,73.0,37.0,84.0,44.0,1.0,0.5,0.7,0.5,6.0,45.0,9.0,0.0,60.0,0.0,38.0,9.0,1.0,4.0,19.0,35.0,0.0,2.0,0.0,72.0,35.0,30.0,53.8,3.0,14.0,7.0,50.0,1.11,0.55,0.21,0.43,19.8,0.0,0.0,0.0,1.0,1.0,0.07,2.0,2.0,56.0,35.0,19.0,26.0,11.0,19.0,34.0,55.9,15.0,13.0,5.0,8.0,19.0,75.0,31.0,0.0,39.0,33.2,10.0,79.0,5.0,19.0,18.0,4.0,1.34,19.0,13.0,6.0,0.48,1.11,16.3,15.4,0.9,0.07,0.05,628.0,35.0,173.0,348.0,113.0,11.0,628.0,4.0,2.0,50.0,2.0,50.0,222.0,1090.0,508.0,9.0,10.0,1.0
Ismaël Bennacer,25.0,Midfielder,Serie A,Milan,20.0,13.0,1151.0,12.8,2.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,1.7,0.9,2.5,3.3,24.0,68.0,33.0,0.16,0.16,0.31,0.08,0.23,0.13,0.19,0.32,0.07,0.26,12.8,38.0,2.97,27.0,4.0,3.0,2.0,1.0,1.0,3.0,0.23,3.0,0.0,0.0,0.0,0.0,0.0,711.0,818.0,86.9,10751.0,2872.0,388.0,414.0,93.7,251.0,286.0,87.8,41.0,68.0,60.3,2.0,2.5,1.6,-0.5,17.0,66.0,11.0,3.0,68.0,0.0,18.0,26.0,1.0,32.0,12.0,19.0,0.0,0.0,0.0,78.0,13.0,19.0,40.6,2.0,11.0,1.0,9.1,0.86,0.08,0.09,1.0,21.6,1.0,1.0,1.0,1.7,0.9,0.08,0.3,0.1,29.0,19.0,11.0,16.0,2.0,11.0,22.0,50.0,11.0,12.0,4.0,8.0,12.0,41.0,9.0,2.0,58.0,33.7,13.0,76.0,4.0,7.0,23.0,1.0,1.9,26.0,19.0,7.0,0.55,-0.25,25.8,14.6,11.2,0.88,0.49,943.0,20.0,158.0,556.0,240.0,15.0,942.0,30.0,17.0,56.7,10.0,33.3,554.0,2959.0,1211.0,24.0,21.0,3.0
Nabil Bentaleb,28.0,Midfielder,Ligue 1,Lille,26.0,23.0,1967.0,21.9,0.0,3.0,3.0,0.0,0.0,0.0,7.0,0.0,0.4,0.4,0.9,1.2,11.0,136.0,17.0,0.0,0.14,0.14,0.0,0.14,0.02,0.04,0.06,0.02,0.06,21.9,38.0,1.74,34.0,2.0,0.0,0.0,1.0,1.0,5.0,0.23,5.0,0.0,0.0,0.0,0.0,0.0,1248.0,1454.0,85.8,22387.0,6885.0,519.0,584.0,88.9,545.0,606.0,89.9,144.0,199.0,72.4,3.0,0.9,0.8,2.1,14.0,147.0,9.0,0.0,136.0,0.0,23.0,18.0,0.0,6.0,37.0,32.0,0.0,1.0,0.0,142.0,24.0,13.0,64.9,0.0,10.0,2.0,20.0,0.46,0.09,0.0,0.0,29.3,1.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,49.0,32.0,29.0,18.0,2.0,22.0,43.0,51.2,21.0,33.0,12.0,21.0,37.0,86.0,33.0,0.0,76.0,64.3,23.0,85.0,19.0,3.0,5.0,0.0,1.73,35.0,24.0,11.0,0.5,-0.07,31.2,26.4,4.8,0.22,-0.38,1667.0,84.0,406.0,1120.0,155.0,6.0,1667.0,19.0,14.0,73.7,4.0,21.1,1287.0,5606.0,2066.0,11.0,28.0,1.0
Rodrigo Bentancur,26.0,Midfielder,Premier League,Tottenham,23.0,13.0,1005.0,11.2,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.9,1.9,0.5,2.4,16.0,72.0,31.0,0.09,0.09,0.18,0.09,0.18,0.17,0.04,0.22,0.17,0.22,11.2,31.0,2.78,26.0,0.0,1.0,2.0,0.0,2.0,4.0,0.36,3.0,0.0,0.0,0.0,0.0,1.0,674.0,800.0,84.3,10011.0,2610.0,384.0,426.0,90.1,244.0,282.0,86.5,29.0,41.0,70.7,1.0,0.5,1.1,0.5,8.0,69.0,11.0,1.0,72.0,0.0,20.0,17.0,0.0,9.0,17.0,15.0,0.0,0.0,0.0,54.0,14.0,22.0,38.9,1.0,18.0,4.0,22.2,1.61,0.36,0.06,0.25,16.3,0.0,0.0,0.0,1.9,1.9,0.11,-0.9,-0.9,23.0,15.0,10.0,11.0,2.0,10.0,24.0,41.7,14.0,15.0,4.0,11.0,17.0,40.0,16.0,1.0,44.0,29.4,13.0,59.0,1.0,10.0,24.0,0.0,1.43,17.0,25.0,-8.0,-0.72,-1.5,19.9,20.7,-0.8,-0.07,-0.28,931.0,36.0,174.0,512.0,250.0,29.0,931.0,21.0,11.0,52.4,8.0,38.1,573.0,2769.0,1148.0,16.0,22.0,2.0
