Joueur,Age,Position,Ligue,equipe,Matchs joues,Titularisations,Minutes jouees,Matches equivalents 90 minutes,Buts,Passes decisives,Buts + Passes décisives,Buts hors penalty,Penalty marques,Penalty tentes,Cartons jaunes,Cartons rouges,Buts attendus (xG),Buts attendus hors penalty (npxG) ,Passes decisives attendues (xAG),xG + xAG hors penalty,Passes progressives ,Courses progressives ,Receptions progressives ,Buts par 90 minutes,Passes decisives par 90 minutes,Buts + Passes decisives par 90 minutes ,Buts hors penalty par 90 minutes,Buts + Passes decisives hors penalty par 90 min,xG par 90 minutes,xAG par 90 minutes,xG + xAG par 90 minutes,npxG par 90 minutes,npxG + xAG par 90 minutes,Matches (equivalents 90 minutes),Actions menant a un tir,Actions menant a un tir par 90 minutes ,Passes vivantes menant a un tir,Passes arretees menant a un tir,Ballons perdus menant a un tir,Tirs menant a un tir,Fautes subies menant a un tir,Actions defensives menant a un tir,Actions menant a un but,Actions menant a un but par 90 minutes,Passes vivantes menant a un but,Passes arretees menant a un but,Ballons perdus menant a un but,Tirs menant a un but,Fautes subies menant a un but ,Actions defensives menant a un but,Passes reussies totales,Passes tentees totales,Pourcentage de reussite des passes,Distance totale des passes ,Distance progressive des passes,Passes courtes reussies,Passes courtes tentees,Pourcentage de reussite des passes courtes,Passes moyennes reussies,Passes moyennes tentees,Pourcentage de reussite des passes moyennes,Passes longues reussies,Passes longues tentees,Pourcentage de reussite des passes longues,Passes decisives,Passes decisives attendues (xAG),Passes attendues ,Difference entre passes attendues et xAG,Passes cles,Passes vers le dernier tiers,Passes dans la surface adverse,Centres dans la surface adverse,Passes progressives,Deuxieme carton jaune,Fautes commises,Fautes subies,Hors-jeux,Centres,Performance Iterceptions ,Tacles reussis,Penalty obtenus,Penalty concedes,Buts contre son camp,Ballons recuperes,Duels aeriens gagnes,Duels aeriens perdus,Pourcentage de duels aeriens gagnes,Buts,Tirs,Tirs cadres,Pourcentage de tirs cadres,Tirs par 90 minutes,Tirs cadres par 90 minutes,Buts par tir,Buts par tir cadre,Distance moyenne des tirs,Coups francs,Penalty marques,Penalty tentes,Buts attendus (xG),Buts attendus hors penalty (npxG),npxG par tir,Difference entre buts reels et xG ,Difference entre buts reels hors penalty et npxG,Tacles,Tacles reussis,Tacles dans le tiers defensif,Tacles dans le tiers median,Tacles dans le tiers offensif,Tacles dans les duels ,Duels tentes,Pourcentage de tacles reussis Tkl%,Duels perdus,Contres,Tirs contres ,Passes contrees ,Interceptions ,Tacles + Interceptions,Degagements,Erreurs ayant conduit a un tir adverse,Minutes par match ,Pourcentage de minutes jouees ,Titularisations,Minutes par titularisation ,Matches completes,Remplacants,Minutes par entree,Matches non remplace,Points par match,Buts marques avec le joueur,Buts encaisses avec le joueur,Difference de buts avec le joueur,Difference de buts par 90 minutes,Difference avec/sans le joueur,xG marques avec le joueur ,xG encaisses avec le joueur,Difference de xG avec le joueur,Difference de xG par 90 minutes,Difference de xG avec/sans le joueur,Touches,Touches dans la surface defensive,Touches dans le tiers defensif,Touches dans le tier median,Touches dans le tiers offensif,Touches dans la surface offensive,Ballons en jeu,Dribbles tentes,Dribbles reussis,Pourcentage de dribbles reussis,Ballons perdus apres dribble,Pourcentage de ballons perdus apres dribble,Portees de balle,Distance totale parcourue avec le ballon,Distance progressive parcourue avec le ballon,Courses progressives,Courses vers le dernier tiers,Courses dans la surface adverse
Jonathan David,23.0,Forward,Ligue 1,Lille,34.0,30.0,2629.0,29.2,19.0,4.0,23.0,17.0,2.0,3.0,4.0,0.0,17.5,15.0,3.3,18.3,47.0,79.0,198.0,0.65,0.14,0.79,0.58,0.72,0.6,0.11,0.71,0.51,0.63,29.2,77.0,2.64,58.0,1.0,3.0,9.0,6.0,0.0,9.0,0.31,3.0,0.0,1.0,3.0,2.0,0.0,537.0,655.0,82.0,7433.0,1592.0,306.0,359.0,85.2,186.0,219.0,84.9,12.0,15.0,80.0,4.0,3.3,2.3,0.7,32.0,53.0,26.0,1.0,79.0,0.0,29.0,56.0,13.0,2.0,9.0,15.0,2.0,0.0,0.0,83.0,21.0,67.0,23.9,19.0,76.0,43.0,56.6,2.6,1.47,0.22,0.4,14.1,0.0,2.0,3.0,17.5,15.0,0.2,1.5,2.0,26.0,15.0,6.0,13.0,7.0,8.0,26.0,30.8,18.0,16.0,0.0,16.0,9.0,35.0,4.0,0.0,77.0,85.9,30.0,86.0,14.0,4.0,14.0,0.0,1.74,48.0,31.0,17.0,0.58,0.37,45.1,29.8,15.4,0.53,1.19,908.0,6.0,60.0,454.0,404.0,128.0,905.0,39.0,15.0,38.5,19.0,48.7,712.0,3779.0,1494.0,47.0,33.0,22.0
Keinan Davis,25.0,Forward,Serie A,Udinese,8.0,0.0,186.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.5,0.5,0.1,0.6,2.0,6.0,15.0,0.48,0.0,0.48,0.48,0.48,0.24,0.04,0.28,0.24,0.28,2.1,11.0,5.32,8.0,0.0,0.0,3.0,0.0,0.0,1.0,0.48,0.0,0.0,0.0,1.0,0.0,0.0,36.0,50.0,72.0,512.0,122.0,20.0,26.0,76.9,14.0,16.0,87.5,1.0,1.0,100.0,0.0,0.1,0.2,-0.1,3.0,3.0,2.0,0.0,6.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,5.0,64.3,1.0,6.0,3.0,50.0,2.9,1.45,0.17,0.33,14.9,0.0,0.0,0.0,0.5,0.5,0.08,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,5.4,0.0,0.0,0.0,8.0,23.0,6.0,1.5,4.0,2.0,2.0,0.97,1.47,2.6,2.2,0.4,0.17,0.46,76.0,3.0,8.0,20.0,50.0,9.0,76.0,5.0,3.0,60.0,1.0,20.0,41.0,334.0,74.0,2.0,1.0,3.0
Charles De Ketelaere,22.0,Forward,Serie A,Atalanta,35.0,25.0,2026.0,22.5,10.0,8.0,18.0,9.0,1.0,1.0,1.0,0.0,7.1,6.3,6.1,12.4,88.0,126.0,219.0,0.44,0.36,0.8,0.4,0.76,0.31,0.27,0.59,0.28,0.55,22.5,93.0,4.13,70.0,2.0,8.0,2.0,8.0,3.0,10.0,0.44,10.0,0.0,0.0,0.0,0.0,0.0,565.0,782.0,72.3,8690.0,2346.0,302.0,384.0,78.6,211.0,273.0,77.3,31.0,58.0,53.4,8.0,6.1,4.1,1.9,49.0,44.0,42.0,7.0,126.0,0.0,17.0,47.0,6.0,47.0,7.0,21.0,0.0,0.0,1.0,93.0,38.0,35.0,52.1,10.0,44.0,24.0,54.5,1.95,1.07,0.2,0.38,14.2,0.0,1.0,1.0,7.1,6.3,0.14,2.9,2.7,33.0,21.0,3.0,12.0,18.0,10.0,20.0,50.0,10.0,30.0,2.0,28.0,7.0,40.0,6.0,0.0,58.0,59.2,25.0,68.0,1.0,10.0,33.0,1.0,1.77,48.0,27.0,21.0,0.93,0.35,36.0,23.9,12.2,0.54,0.25,1098.0,10.0,60.0,442.0,612.0,133.0,1097.0,88.0,40.0,45.5,35.0,39.8,669.0,4241.0,2121.0,88.0,51.0,41.0
Grégoire Defrel,32.0,Forward,Serie A,Sassuolo,20.0,7.0,757.0,8.4,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2,2.2,7.0,17.0,42.0,0.12,0.24,0.36,0.12,0.36,0.12,0.14,0.26,0.12,0.26,8.4,19.0,2.26,16.0,1.0,0.0,2.0,0.0,0.0,2.0,0.24,2.0,0.0,0.0,0.0,0.0,0.0,187.0,221.0,84.6,2738.0,555.0,102.0,114.0,89.5,65.0,75.0,86.7,10.0,13.0,76.9,2.0,1.2,1.1,0.8,8.0,10.0,3.0,1.0,17.0,0.0,9.0,8.0,1.0,2.0,3.0,8.0,0.0,0.0,0.0,30.0,6.0,21.0,22.2,1.0,12.0,3.0,25.0,1.43,0.36,0.08,0.33,21.5,0.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0,17.0,8.0,7.0,5.0,5.0,7.0,15.0,46.7,8.0,10.0,0.0,10.0,3.0,20.0,9.0,0.0,38.0,22.1,7.0,72.0,0.0,13.0,20.0,6.0,0.8,8.0,15.0,-7.0,-0.83,0.01,8.7,13.1,-4.4,-0.52,0.07,310.0,7.0,47.0,141.0,125.0,19.0,310.0,13.0,4.0,30.8,8.0,61.5,181.0,1001.0,348.0,7.0,7.0,2.0
Romain Del Castillo,27.0,Forward,Ligue 1,Brest,33.0,30.0,2497.0,27.7,8.0,8.0,16.0,5.0,3.0,3.0,4.0,0.0,5.2,2.9,9.9,12.8,101.0,155.0,287.0,0.29,0.29,0.58,0.18,0.47,0.19,0.36,0.55,0.1,0.46,27.7,166.0,5.98,101.0,38.0,9.0,4.0,12.0,2.0,14.0,0.5,9.0,4.0,0.0,1.0,0.0,0.0,989.0,1469.0,67.3,16904.0,6014.0,486.0,603.0,80.6,327.0,474.0,69.0,126.0,258.0,48.8,8.0,9.9,9.1,-1.9,89.0,103.0,72.0,21.0,155.0,0.0,21.0,58.0,3.0,251.0,9.0,29.0,0.0,0.0,0.0,137.0,22.0,30.0,42.3,8.0,37.0,14.0,37.8,1.33,0.5,0.14,0.36,20.3,3.0,3.0,3.0,5.2,2.9,0.08,2.8,2.1,46.0,29.0,14.0,18.0,14.0,18.0,70.0,25.7,52.0,33.0,1.0,32.0,9.0,55.0,8.0,0.0,76.0,81.6,30.0,81.0,3.0,3.0,22.0,0.0,1.82,46.0,31.0,15.0,0.54,-0.1,41.1,32.2,8.9,0.32,0.3,1800.0,5.0,122.0,780.0,936.0,71.0,1797.0,160.0,75.0,46.9,77.0,48.1,1306.0,7721.0,3294.0,101.0,95.0,21.0
Ermedin Demirović,25.0,Forward,Bundesliga,Augsburg,33.0,33.0,2873.0,31.9,15.0,9.0,24.0,12.0,3.0,4.0,7.0,0.0,13.5,10.3,3.9,14.2,28.0,60.0,167.0,0.47,0.28,0.75,0.38,0.66,0.42,0.12,0.54,0.32,0.45,31.9,72.0,2.26,49.0,0.0,9.0,8.0,6.0,0.0,14.0,0.44,11.0,0.0,2.0,0.0,1.0,0.0,371.0,574.0,64.6,4996.0,1174.0,202.0,289.0,69.9,129.0,165.0,78.2,8.0,14.0,57.1,9.0,3.9,3.7,5.1,33.0,40.0,17.0,1.0,60.0,0.0,60.0,35.0,16.0,10.0,11.0,14.0,1.0,0.0,0.0,107.0,51.0,89.0,36.4,15.0,77.0,32.0,41.6,2.41,1.0,0.16,0.38,14.0,0.0,3.0,4.0,13.5,10.3,0.13,1.5,1.7,24.0,14.0,5.0,16.0,3.0,12.0,40.0,30.0,28.0,28.0,2.0,26.0,11.0,35.0,26.0,0.0,87.0,93.9,33.0,87.0,23.0,0.0,0.0,0.0,1.15,47.0,56.0,-9.0,-0.28,0.2,42.9,52.3,-9.4,-0.29,0.63,937.0,27.0,92.0,388.0,468.0,164.0,933.0,65.0,29.0,44.6,31.0,47.7,482.0,2426.0,890.0,28.0,20.0,11.0
Mattia Destro,32.0,Forward,Serie A,Empoli,15.0,3.0,366.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.2,1.2,0.3,1.5,4.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.29,0.08,0.37,0.29,0.37,4.1,4.0,0.98,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,63.0,65.1,567.0,71.0,22.0,32.0,68.8,17.0,25.0,68.0,1.0,1.0,100.0,0.0,0.3,0.0,-0.3,3.0,2.0,0.0,0.0,4.0,0.0,6.0,7.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,13.0,17.0,43.3,0.0,11.0,4.0,36.4,2.7,0.98,0.0,0.0,15.0,0.0,0.0,0.0,1.2,1.2,0.11,-1.2,-1.2,2.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,4.0,0.0,4.0,2.0,4.0,3.0,0.0,24.0,10.7,3.0,54.0,0.0,12.0,17.0,15.0,0.67,4.0,9.0,-5.0,-1.23,-0.64,4.4,6.7,-2.2,-0.55,-0.12,107.0,1.0,7.0,55.0,46.0,18.0,107.0,4.0,1.0,25.0,1.0,25.0,53.0,267.0,114.0,4.0,3.0,3.0
Federico Di Francesco,29.0,Forward,Serie A,Lecce,2.0,0.0,15.0,0.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,3.0,6.0,0.0,6.0,6.0,6.0,0.53,0.0,0.53,0.53,0.53,0.2,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,75.0,90.0,43.0,1.0,2.0,50.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,50.0,12.0,6.0,0.5,1.0,31.9,0.0,0.0,0.0,0.1,0.1,0.04,0.9,0.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.4,0.0,0.0,0.0,2.0,8.0,0.0,2.0,2.0,0.0,2.0,12.0,12.63,0.2,0.6,-0.4,-2.17,-1.91,15.0,0.0,2.0,8.0,5.0,3.0,15.0,1.0,0.0,0.0,1.0,100.0,9.0,65.0,18.0,1.0,0.0,0.0
Boulaye Dia,26.0,Forward,Serie A,Salernitana,17.0,12.0,1143.0,12.7,4.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,3.9,3.1,0.5,3.6,18.0,22.0,57.0,0.31,0.0,0.31,0.24,0.24,0.31,0.04,0.35,0.24,0.28,12.7,26.0,2.05,21.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,244.0,83.6,3303.0,641.0,99.0,111.0,89.2,77.0,86.0,89.5,16.0,23.0,69.6,0.0,0.5,0.5,-0.5,10.0,22.0,5.0,0.0,22.0,0.0,11.0,24.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,41.0,6.0,27.0,18.2,4.0,28.0,9.0,32.1,2.2,0.71,0.11,0.33,16.0,0.0,1.0,1.0,3.9,3.1,0.11,0.1,-0.1,4.0,2.0,2.0,2.0,0.0,1.0,3.0,33.3,2.0,5.0,0.0,5.0,3.0,7.0,7.0,0.0,67.0,33.4,12.0,83.0,8.0,5.0,29.0,1.0,0.35,9.0,30.0,-21.0,-1.65,-0.55,10.0,25.0,-15.0,-1.18,-0.03,382.0,14.0,44.0,185.0,162.0,35.0,381.0,43.0,14.0,32.6,27.0,62.8,276.0,1722.0,648.0,18.0,17.0,6.0
Moussa Diaby,24.0,Forward,Premier League,Aston Villa,38.0,25.0,2174.0,24.2,6.0,8.0,14.0,6.0,0.0,0.0,1.0,0.0,7.0,7.0,6.6,13.6,94.0,72.0,183.0,0.25,0.33,0.58,0.25,0.58,0.29,0.27,0.56,0.29,0.56,24.2,80.0,3.31,64.0,1.0,6.0,7.0,2.0,0.0,10.0,0.41,9.0,0.0,1.0,0.0,0.0,0.0,485.0,619.0,78.4,6960.0,1348.0,280.0,329.0,85.1,170.0,215.0,79.1,17.0,32.0,53.1,8.0,6.6,4.5,1.4,47.0,29.0,40.0,9.0,72.0,0.0,16.0,15.0,6.0,45.0,9.0,5.0,0.0,0.0,0.0,62.0,2.0,15.0,11.8,6.0,54.0,22.0,40.7,2.24,0.91,0.11,0.27,15.9,0.0,0.0,0.0,7.0,7.0,0.13,-1.0,-1.0,12.0,5.0,5.0,4.0,3.0,4.0,22.0,18.2,18.0,8.0,1.0,7.0,9.0,21.0,6.0,0.0,57.0,63.6,25.0,75.0,4.0,13.0,23.0,0.0,1.79,41.0,40.0,1.0,0.04,-0.97,35.9,36.1,-0.1,-0.01,-0.26,824.0,12.0,69.0,298.0,470.0,136.0,824.0,70.0,29.0,41.4,37.0,52.9,568.0,3926.0,2013.0,94.0,43.0,39.0
Mamadou Diakhon,17.0,Forward,Ligue 1,Reims,11.0,1.0,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,11.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.11,0.01,0.11,2.3,4.0,1.72,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,48.0,79.2,646.0,131.0,13.0,16.0,81.3,19.0,25.0,76.0,3.0,4.0,75.0,0.0,0.2,0.4,-0.2,1.0,1.0,0.0,0.0,1.0,0.0,4.0,11.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,15.0,2.0,4.0,33.3,0.0,1.0,1.0,100.0,0.43,0.43,0.0,0.0,20.3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,5.0,3.0,2.0,1.0,2.0,3.0,9.0,33.3,6.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,19.0,6.8,1.0,56.0,0.0,10.0,15.0,20.0,0.91,3.0,6.0,-3.0,-1.29,-1.23,3.4,4.6,-1.2,-0.52,-0.5,87.0,4.0,17.0,33.0,40.0,5.0,87.0,20.0,6.0,30.0,10.0,50.0,63.0,620.0,278.0,11.0,2.0,5.0
Oumar Diakité,19.0,Forward,Ligue 1,Reims,28.0,18.0,1585.0,17.6,5.0,1.0,6.0,5.0,0.0,1.0,4.0,0.0,7.0,6.2,1.3,7.5,29.0,28.0,107.0,0.28,0.06,0.34,0.28,0.34,0.4,0.07,0.47,0.35,0.43,17.6,41.0,2.33,26.0,0.0,9.0,1.0,3.0,2.0,5.0,0.28,3.0,0.0,1.0,0.0,0.0,1.0,239.0,305.0,78.4,3219.0,504.0,132.0,161.0,82.0,89.0,107.0,83.2,2.0,6.0,33.3,1.0,1.3,1.3,-0.3,15.0,16.0,8.0,0.0,28.0,0.0,35.0,27.0,32.0,3.0,7.0,12.0,1.0,0.0,0.0,57.0,23.0,63.0,26.7,5.0,35.0,11.0,31.4,1.99,0.62,0.14,0.45,14.8,0.0,0.0,1.0,7.0,6.2,0.18,-2.0,-1.2,25.0,12.0,10.0,9.0,6.0,7.0,21.0,33.3,14.0,13.0,0.0,13.0,7.0,32.0,7.0,0.0,57.0,51.8,18.0,78.0,5.0,10.0,18.0,2.0,1.32,25.0,25.0,0.0,0.0,0.31,20.6,28.0,-7.4,-0.42,-0.76,546.0,13.0,55.0,233.0,271.0,89.0,545.0,62.0,25.0,40.3,34.0,54.8,380.0,2557.0,789.0,29.0,21.0,21.0
Amad Diallo,21.0,Forward,Premier League,Manchester Utd,9.0,3.0,390.0,4.3,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,1.1,1.6,11.0,10.0,31.0,0.23,0.23,0.46,0.23,0.46,0.12,0.24,0.36,0.12,0.36,4.3,20.0,4.62,16.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,170.0,87.6,1931.0,279.0,105.0,115.0,91.3,32.0,37.0,86.5,4.0,5.0,80.0,1.0,1.1,0.5,-0.1,10.0,6.0,3.0,0.0,10.0,0.0,5.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,14.0,4.0,6.0,40.0,1.0,10.0,4.0,40.0,2.31,0.92,0.1,0.25,19.3,0.0,0.0,0.0,0.5,0.5,0.05,0.5,0.5,10.0,3.0,1.0,6.0,3.0,3.0,7.0,42.9,4.0,3.0,1.0,2.0,1.0,11.0,6.0,0.0,43.0,11.4,3.0,75.0,0.0,6.0,28.0,8.0,1.22,10.0,6.0,4.0,0.92,1.07,7.7,7.4,0.3,0.07,0.45,231.0,8.0,28.0,94.0,110.0,24.0,231.0,23.0,11.0,47.8,10.0,43.5,146.0,1035.0,355.0,11.0,12.0,4.0
Assane Diao,17.0,Forward,La Liga,Betis,18.0,13.0,1048.0,11.6,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,2.5,2.5,0.7,3.2,33.0,20.0,101.0,0.17,0.0,0.17,0.17,0.17,0.21,0.06,0.28,0.21,0.28,11.6,23.0,1.98,17.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,264.0,75.8,2297.0,410.0,140.0,164.0,85.4,35.0,47.0,74.5,7.0,9.0,77.8,0.0,0.7,0.8,-0.7,10.0,4.0,6.0,1.0,20.0,0.0,12.0,22.0,1.0,9.0,7.0,12.0,0.0,0.0,0.0,47.0,14.0,22.0,38.9,2.0,21.0,3.0,14.3,1.8,0.26,0.1,0.67,13.7,0.0,0.0,0.0,2.5,2.5,0.12,-0.5,-0.5,20.0,12.0,5.0,9.0,6.0,6.0,17.0,35.3,11.0,22.0,4.0,18.0,7.0,27.0,7.0,0.0,58.0,30.6,13.0,68.0,2.0,5.0,33.0,11.0,1.5,14.0,9.0,5.0,0.43,0.51,15.7,14.1,1.6,0.14,0.44,478.0,10.0,53.0,190.0,251.0,49.0,478.0,55.0,18.0,32.7,28.0,50.9,309.0,2486.0,935.0,33.0,25.0,14.0
Brahim Díaz,23.0,Forward,La Liga,Real Madrid,31.0,18.0,1545.0,17.2,8.0,6.0,14.0,8.0,0.0,0.0,0.0,0.0,5.7,5.7,4.4,10.1,76.0,75.0,166.0,0.47,0.35,0.82,0.47,0.82,0.33,0.26,0.59,0.33,0.59,17.2,75.0,4.37,49.0,2.0,13.0,6.0,4.0,1.0,18.0,1.05,12.0,1.0,5.0,0.0,0.0,0.0,624.0,740.0,84.3,7892.0,1835.0,430.0,463.0,92.9,132.0,170.0,77.6,23.0,40.0,57.5,6.0,4.4,4.7,1.6,30.0,42.0,34.0,7.0,75.0,0.0,22.0,41.0,5.0,31.0,5.0,19.0,0.0,0.0,0.0,74.0,3.0,9.0,25.0,8.0,38.0,17.0,44.7,2.21,0.99,0.21,0.47,16.0,0.0,0.0,0.0,5.7,5.7,0.15,2.3,2.3,29.0,19.0,4.0,16.0,9.0,6.0,13.0,46.2,7.0,16.0,1.0,15.0,5.0,34.0,2.0,0.0,50.0,45.2,18.0,74.0,1.0,13.0,17.0,7.0,2.52,44.0,9.0,35.0,2.04,0.79,32.2,13.8,18.4,1.07,0.35,971.0,8.0,51.0,400.0,540.0,93.0,971.0,109.0,55.0,50.5,49.0,45.0,694.0,4465.0,2408.0,76.0,61.0,32.0
Luis Díaz,26.0,Forward,Premier League,Liverpool,37.0,32.0,2629.0,29.2,8.0,5.0,13.0,8.0,0.0,0.0,3.0,0.0,11.9,11.9,5.7,17.5,137.0,113.0,302.0,0.27,0.17,0.45,0.27,0.45,0.41,0.19,0.6,0.41,0.6,29.2,163.0,5.58,121.0,1.0,17.0,15.0,8.0,1.0,9.0,0.31,9.0,0.0,0.0,0.0,0.0,0.0,898.0,1075.0,83.5,13772.0,2931.0,527.0,584.0,90.2,274.0,320.0,85.6,68.0,91.0,74.7,5.0,5.7,4.7,-0.7,64.0,62.0,45.0,3.0,113.0,0.0,54.0,42.0,20.0,26.0,3.0,25.0,1.0,0.0,0.0,127.0,26.0,48.0,35.1,8.0,94.0,32.0,34.0,3.22,1.1,0.09,0.25,15.0,0.0,0.0,0.0,11.9,11.9,0.13,-3.9,-3.9,35.0,25.0,5.0,17.0,13.0,7.0,30.0,23.3,23.0,15.0,0.0,15.0,3.0,38.0,8.0,0.0,71.0,76.9,32.0,78.0,11.0,5.0,24.0,0.0,2.14,67.0,33.0,34.0,1.16,-0.09,66.1,35.4,30.7,1.05,-0.24,1453.0,10.0,94.0,529.0,858.0,219.0,1453.0,140.0,67.0,47.9,57.0,40.7,1017.0,7500.0,3690.0,137.0,77.0,70.0
Famara Diedhiou,30.0,Forward,La Liga,Granada,8.0,0.0,89.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,5.0,0.0,19.0,0.0,1.01,1.01,0.0,1.01,0.5,0.21,0.71,0.5,0.71,1.0,7.0,7.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,41.0,48.8,278.0,22.0,14.0,22.0,63.6,3.0,9.0,33.3,2.0,3.0,66.7,1.0,0.2,0.2,0.8,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,12.0,6.0,66.7,0.0,5.0,3.0,60.0,5.06,3.03,0.0,0.0,18.1,0.0,0.0,0.0,0.5,0.5,0.1,-0.5,-0.5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,2.6,0.0,0.0,0.0,8.0,11.0,8.0,0.5,2.0,3.0,-1.0,-1.01,0.07,2.2,2.0,0.2,0.2,0.79,68.0,5.0,7.0,20.0,41.0,10.0,68.0,5.0,4.0,80.0,1.0,20.0,40.0,241.0,99.0,5.0,3.0,2.0
Justin Diehl,18.0,Forward,Bundesliga,Köln,7.0,1.0,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,6.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.23,0.12,0.23,1.9,11.0,5.86,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,64.0,64.1,657.0,189.0,21.0,25.0,84.0,13.0,20.0,65.0,5.0,14.0,35.7,0.0,0.2,0.2,-0.2,5.0,1.0,2.0,1.0,2.0,0.0,2.0,4.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,7.0,2.0,28.6,3.75,1.07,0.0,0.0,23.1,1.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,24.0,5.5,1.0,59.0,0.0,6.0,18.0,0.0,0.57,0.0,3.0,-3.0,-1.61,-0.7,1.2,4.0,-2.8,-1.5,-0.8,96.0,2.0,11.0,31.0,54.0,10.0,96.0,15.0,8.0,53.3,6.0,40.0,55.0,500.0,204.0,6.0,2.0,5.0
Bamba Dieng,23.0,Forward,Ligue 1,Lorient,16.0,5.0,549.0,6.1,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,3.2,3.2,1.6,4.8,5.0,4.0,44.0,0.66,0.16,0.82,0.66,0.82,0.53,0.27,0.79,0.53,0.79,6.1,19.0,3.11,9.0,0.0,1.0,3.0,6.0,0.0,4.0,0.65,2.0,0.0,0.0,2.0,0.0,0.0,90.0,117.0,76.9,1190.0,105.0,55.0,67.0,82.1,22.0,31.0,71.0,4.0,5.0,80.0,1.0,1.6,0.9,-0.6,8.0,3.0,2.0,0.0,4.0,0.0,7.0,19.0,6.0,5.0,0.0,3.0,0.0,0.0,0.0,12.0,17.0,19.0,47.2,4.0,17.0,7.0,41.2,2.79,1.15,0.24,0.57,16.1,2.0,0.0,0.0,3.2,3.2,0.19,0.8,0.8,3.0,3.0,0.0,3.0,0.0,1.0,3.0,33.3,2.0,3.0,0.0,3.0,0.0,3.0,7.0,0.0,34.0,17.9,5.0,66.0,1.0,11.0,20.0,2.0,0.94,7.0,16.0,-9.0,-1.48,-0.97,9.0,10.2,-1.2,-0.2,0.37,188.0,7.0,14.0,95.0,79.0,31.0,188.0,11.0,3.0,27.3,7.0,63.6,127.0,697.0,183.0,5.0,2.0,3.0
